Language,Count,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10
javascript,1561982,html,reactjs,jquery,ajax,php,node.js,css,json,google-chrome-extension,python
java,1375951,android,selenium,xml,regex,arraylist,json,android-studio,arrays,javamail,hadoop
c#,1181496,asp.net,visual-studio,wpf,sql,uwp,visual-studio-2017,winforms,security,json.net,asp.net-web-api
php,1170276,javascript,html,mysql,laravel,codeigniter,xampp,jquery,table,laravel-5,regex
python,899356,python-3.x,amazon-web-services,sorting,numpy,dictionary,pygame,pandas,csv,key-value,javascript
c++,555939,c,string,c++11,python,recursion,winapi,makefile,macos,vector,templates
sql,426580,sql-server,c#,mysql,postgresql,tsql,database,oracle,xml,oracle11g,php
objective-c,282679,ios,xcode,iphone,react-native,automatic-ref-counting,swift,ios11,uiimage,nsurlsession,voip
c,271128,c++,gcc,arrays,compilation,string,python,linux,pointers,segmentation-fault,swift
r,223496,dplyr,ggplot2,shiny,dataframe,legend,optimization,sapply,lapply,gridextra,mutate
ruby,192139,ruby-on-rails,regex,ruby-on-rails-3,haml,arrays,rspec,rubygems,blackjack,javascript,ajax
swift,181582,ios,uiview,json,firebase,arrays,uitableview,uitextfield,nsmutableurlrequest,c,calayer
vb.net,116104,asp.net,c#,.net,visual-studio,winforms,mysql,sql,performance,visual-studio-2013,com-interop
matlab,77182,python,plot,matlab-figure,matrix,vectorization,loops,image-processing,r,sparse-matrix,for-loop
perl,58749,shell,awk,linux,regex,java,csv,javascript,sed,sockets,flush
delphi,40934,android,firemonkey,firedac,delphi-10.1-berlin,sql,c++builder,indy,delphi-xe7,datasnap,delphi-7
go,27703,json,goroutine,avro,kubernetes,google-app-engine,http,unit-testing,python,struct,algorithm
assembly,27035,x86,mips,nasm,x86-64,gdb,linux,memory,x86-16,tasm,masm
plsql,17389,oracle,sql,oracle11g,dynamic-sql,plsqldeveloper,cursor,oracle12c,xml,loops,database
vb6,9452,c#,vba,dll,vb.net,activex,.net,sql-server-2008,vb6-express,visual-studio-2010,sql
